sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"To develop criteria helpful in discerning the unified intelligibility of such complexes of conditions , decisions , and outcomes , and in determining what data will be relevant to specifying the limits and the moral character of such unities , will require an in-depth analysis of the various spheres of moral living .","To/TO develop/VB criteria/NNS helpful/JJ in/IN discerning/VBG the/DT unified/JJ intelligibility/NN of/IN such/JJ complexes/NNS of/IN conditions/NNS ,/, decisions/NNS ,/, and/CC outcomes/NNS ,/, and/CC in/IN determining/VBG what/WP data/NNS will/MD be/VB relevant/JJ to/TO specifying/VBG the/DT limits/NNS and/CC the/DT moral/JJ character/NN of/IN such/JJ unities/NNS ,/, will/MD require/VB an/DT in-depth/JJ analysis/NN of/IN the/DT various/JJ spheres/NNS of/IN moral/JJ living/NN ./.","mark(develop-2, To-1) csubj(require-42, develop-2) nsubj(discerning-6, criteria-3) nsubj(determining-23, criteria-3) dep(discerning-6, helpful-4) mark(discerning-6, in-5) xcomp(develop-2, discerning-6) det(intelligibility-9, the-7) amod(intelligibility-9, unified-8) dobj(discerning-6, intelligibility-9) case(complexes-12, of-10) amod(complexes-12, such-11) nmod:of(intelligibility-9, complexes-12) case(conditions-14, of-13) nmod:of(complexes-12, conditions-14) nmod:of(complexes-12, decisions-16) conj:and(conditions-14, decisions-16) cc(conditions-14, and-18) nmod:of(complexes-12, outcomes-19) conj:and(conditions-14, outcomes-19) cc(discerning-6, and-21) mark(determining-23, in-22) xcomp(develop-2, determining-23) conj:and(discerning-6, determining-23) dobj(relevant-28, what-24) nsubj(relevant-28, data-25) aux(relevant-28, will-26) cop(relevant-28, be-27) ccomp(determining-23, relevant-28) mark(specifying-30, to-29) advcl(relevant-28, specifying-30) det(limits-32, the-31) dobj(specifying-30, limits-32) cc(limits-32, and-33) det(character-36, the-34) amod(character-36, moral-35) dobj(specifying-30, character-36) conj:and(limits-32, character-36) case(unities-39, of-37) amod(unities-39, such-38) nmod:of(character-36, unities-39) aux(require-42, will-41) root(ROOT-0, require-42) det(analysis-45, an-43) amod(analysis-45, in-depth-44) dobj(require-42, analysis-45) case(spheres-49, of-46) det(spheres-49, the-47) amod(spheres-49, various-48) nmod:of(analysis-45, spheres-49) case(living-52, of-50) amod(living-52, moral-51) nmod:of(spheres-49, living-52)  ",unities,39,"case(unities-39, of-37) amod(unities-39, such-38) nmod:of(character-36, unities-39) ","the moral character of such unities , will require an in-depth",NNS,[],,,,,,,,,"[('of', 'character')]",['of'],['character'],[],[],,[],[],[],[],['such'],[],[],[],['of'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"Ethics is charged with the theoretical task of grasping classes of such intelligible unities which remain isomorphic across differing situational contexts and formulating procedural rules for data selection , classification , and generalization in the realm of moral-meaning schemes .","Ethics/NNP is/VBZ charged/VBN with/IN the/DT theoretical/JJ task/NN of/IN grasping/VBG classes/NNS of/IN such/JJ intelligible/NN unities/NNS which/WDT remain/VBP isomorphic/JJ across/IN differing/VBG situational/JJ contexts/NNS and/CC formulating/VBG procedural/JJ rules/NNS for/IN data/NNS selection/NN ,/, classification/NN ,/, and/CC generalization/NN in/IN the/DT realm/NN of/IN moral-meaning/JJ schemes/NNS ./.","nsubjpass(charged-3, Ethics-1) auxpass(charged-3, is-2) root(ROOT-0, charged-3) case(task-7, with-4) det(task-7, the-5) amod(task-7, theoretical-6) nmod:with(charged-3, task-7) mark(grasping-9, of-8) acl(task-7, grasping-9) dobj(grasping-9, classes-10) nsubj(remain-16, classes-10) case(unities-14, of-11) amod(unities-14, such-12) compound(unities-14, intelligible-13) nmod:of(classes-10, unities-14) ref(classes-10, which-15) acl:relcl(classes-10, remain-16) xcomp(remain-16, isomorphic-17) case(contexts-21, across-18) amod(contexts-21, differing-19) amod(contexts-21, situational-20) nmod:across(isomorphic-17, contexts-21) cc(grasping-9, and-22) acl(task-7, formulating-23) conj:and(grasping-9, formulating-23) amod(rules-25, procedural-24) dobj(formulating-23, rules-25) case(data-27, for-26) nmod:for(rules-25, data-27) dobj(grasping-9, selection-28) dobj(grasping-9, classification-30) conj:and(selection-28, classification-30) cc(selection-28, and-32) dobj(grasping-9, generalization-33) conj:and(selection-28, generalization-33) case(realm-36, in-34) det(realm-36, the-35) nmod:in(selection-28, realm-36) case(schemes-39, of-37) amod(schemes-39, moral-meaning-38) nmod:of(realm-36, schemes-39)  ",unities,14,"case(unities-14, of-11) amod(unities-14, such-12) compound(unities-14, intelligible-13) nmod:of(classes-10, unities-14) ",grasping classes of such intelligible unities which remain isomorphic across differing,NNS,[],,,,,,,,,"[('of', 'classes')]",['of'],['classes'],[],[],,[],[],[],['intelligible'],['such'],[],[],[],['of'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"Premoral norms will be the result of descriptive , common-sense insights into moral experiences which grasp significant but partial aspects of complex moral realities that can not account for the total intelligibility of such generalizable moral unities.","Premoral/JJ norms/NNS will/MD be/VB the/DT result/NN of/IN descriptive/JJ ,/, common-sense/JJ insights/NNS into/IN moral/JJ experiences/NNS which/WDT grasp/VBP significant/JJ but/CC partial/JJ aspects/NNS of/IN complex/JJ moral/JJ realities/NNS that/WDT can/MD not/RB account/VB for/IN the/DT total/JJ intelligibility/NN of/IN such/JJ generalizable/JJ moral/JJ unities/NNS ./.","amod(norms-2, Premoral-1) nsubj(result-6, norms-2) aux(result-6, will-3) cop(result-6, be-4) det(result-6, the-5) root(ROOT-0, result-6) case(insights-11, of-7) amod(insights-11, descriptive-8) amod(insights-11, common-sense-10) nmod:of(result-6, insights-11) case(experiences-14, into-12) amod(experiences-14, moral-13) nmod:into(result-6, experiences-14) nsubj(grasp-16, experiences-14) ref(experiences-14, which-15) acl:relcl(experiences-14, grasp-16) amod(aspects-20, significant-17) cc(significant-17, but-18) conj:but(significant-17, partial-19) amod(aspects-20, partial-19) dobj(grasp-16, aspects-20) case(realities-24, of-21) amod(realities-24, complex-22) amod(realities-24, moral-23) nmod:of(aspects-20, realities-24) nsubj(account-28, realities-24) ref(realities-24, that-25) aux(account-28, can-26) neg(account-28, not-27) acl:relcl(realities-24, account-28) case(intelligibility-32, for-29) det(intelligibility-32, the-30) amod(intelligibility-32, total-31) nmod:for(account-28, intelligibility-32) case(unities-37, of-33) amod(unities-37, such-34) amod(unities-37, generalizable-35) amod(unities-37, moral-36) nmod:of(intelligibility-32, unities-37)  ",unities,37,"case(unities-37, of-33) amod(unities-37, such-34) amod(unities-37, generalizable-35) amod(unities-37, moral-36) nmod:of(intelligibility-32, unities-37) ",intelligibility of such generalizable moral unities.,NNS,[],,,,,,,,,"[('of', 'intelligibility')]",['of'],['intelligibility'],[],[],,[],[],[],[],"['such', 'generalizable', 'moral']",[],[],[],['of'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
Underlying the formation of knowledge is a density of potential relations involving both disjunctures and unities .,Underlying/VBG the/DT formation/NN of/IN knowledge/NN is/VBZ a/DT density/NN of/IN potential/JJ relations/NNS involving/VBG both/CC disjunctures/NNS and/CC unities/NNS ./.,"csubj(density-8, Underlying-1) det(formation-3, the-2) dobj(Underlying-1, formation-3) case(knowledge-5, of-4) nmod:of(formation-3, knowledge-5) cop(density-8, is-6) det(density-8, a-7) root(ROOT-0, density-8) case(relations-11, of-9) amod(relations-11, potential-10) nmod:of(density-8, relations-11) acl(relations-11, involving-12) cc:preconj(disjunctures-14, both-13) dobj(involving-12, disjunctures-14) cc(disjunctures-14, and-15) dobj(involving-12, unities-16) conj:and(disjunctures-14, unities-16)  ",unities,16,"dobj(involving-12, unities-16) conj:and(disjunctures-14, unities-16) ",relations involving both disjunctures and unities .,NNS,[],involving,VBG,object,,,involving,involve,[],[],[],[],[],[],,"[('and', 'disjunctures')]",['and'],['disjunctures'],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,ambiguous,[],unknown,unknown
"( n15 ) Virtually all goods are complex organic unities , unities in which the goodness of the whole is not equal to the sum of the goodnesses of the parts .","-LRB-/-LRB- n15/NNS -RRB-/-RRB- Virtually/VBZ all/DT goods/NNS are/VBP complex/JJ organic/JJ unities/NNS ,/, unities/NNS in/IN which/WDT the/DT goodness/NN of/IN the/DT whole/NN is/VBZ not/RB equal/JJ to/TO the/DT sum/NN of/IN the/DT goodnesses/NNS of/IN the/DT parts/NNS ./.","nsubj(Virtually-4, n15-2) dep(complex-8, Virtually-4) det(goods-6, all-5) dobj(Virtually-4, goods-6) cop(complex-8, are-7) root(ROOT-0, complex-8) amod(unities-10, organic-9) nsubj(complex-8, unities-10) appos(unities-10, unities-12) nmod:in(equal-22, unities-12) case(which-14, in-13) ref(unities-12, which-14) det(goodness-16, the-15) nsubj(equal-22, goodness-16) case(whole-19, of-17) det(whole-19, the-18) nmod:of(goodness-16, whole-19) cop(equal-22, is-20) neg(equal-22, not-21) acl:relcl(unities-12, equal-22) case(sum-25, to-23) det(sum-25, the-24) nmod:to(equal-22, sum-25) case(goodnesses-28, of-26) det(goodnesses-28, the-27) nmod:of(sum-25, goodnesses-28) case(parts-31, of-29) det(parts-31, the-30) nmod:of(goodnesses-28, parts-31)  ",unities,10,"amod(unities-10, organic-9) appos(unities-10, unities-12) nsubj(complex-8, unities-10) ","all goods are complex organic unities , unities in which the",NNS,[],are,VBP,subject,are,be,,,[],[],[],[],[],[],,[],[],[],[],['organic'],[],[],[],[],[],"['modified', 'unities']",[],['unities'],[],[],,,plural,bare plural,plural,[],unknown,unknown
"( n15 ) Virtually all goods are complex organic unities , unities in which the goodness of the whole is not equal to the sum of the goodnesses of the parts .","-LRB-/-LRB- n15/NNS -RRB-/-RRB- Virtually/VBZ all/DT goods/NNS are/VBP complex/JJ organic/JJ unities/NNS ,/, unities/NNS in/IN which/WDT the/DT goodness/NN of/IN the/DT whole/NN is/VBZ not/RB equal/JJ to/TO the/DT sum/NN of/IN the/DT goodnesses/NNS of/IN the/DT parts/NNS ./.","nsubj(Virtually-4, n15-2) dep(complex-8, Virtually-4) det(goods-6, all-5) dobj(Virtually-4, goods-6) cop(complex-8, are-7) root(ROOT-0, complex-8) amod(unities-10, organic-9) nsubj(complex-8, unities-10) appos(unities-10, unities-12) nmod:in(equal-22, unities-12) case(which-14, in-13) ref(unities-12, which-14) det(goodness-16, the-15) nsubj(equal-22, goodness-16) case(whole-19, of-17) det(whole-19, the-18) nmod:of(goodness-16, whole-19) cop(equal-22, is-20) neg(equal-22, not-21) acl:relcl(unities-12, equal-22) case(sum-25, to-23) det(sum-25, the-24) nmod:to(equal-22, sum-25) case(goodnesses-28, of-26) det(goodnesses-28, the-27) nmod:of(sum-25, goodnesses-28) case(parts-31, of-29) det(parts-31, the-30) nmod:of(goodnesses-28, parts-31)  ",unities,12,"ref(unities-12, which-14) acl:relcl(unities-12, equal-22) appos(unities-10, unities-12) nmod:in(equal-22, unities-12) ","are complex organic unities , unities in which the goodness of",NNS,[],,,,,,,,,"[('in', 'equal')]",['in'],['equal'],[],[],,[],[],[],[],[],[],[],[],[],[],"['modifier', 'unities']",['unities'],[],[],[],,,plural,bare plural,,[],unknown,unknown
"Indeed , its presence can add to the evil of particular organic unities , for example , in the lives of individuals who wish to torture others.","Indeed/RB ,/, its/PRP$ presence/NN can/MD add/VB to/TO the/DT evil/NN of/IN particular/JJ organic/JJ unities/NNS ,/, for/IN example/NN ,/, in/IN the/DT lives/NNS of/IN individuals/NNS who/WP wish/VBP to/TO torture/VB others/NNS ./.","advmod(add-6, Indeed-1) nmod:poss(presence-4, its-3) nsubj(add-6, presence-4) aux(add-6, can-5) root(ROOT-0, add-6) case(evil-9, to-7) det(evil-9, the-8) nmod:to(add-6, evil-9) case(unities-13, of-10) amod(unities-13, particular-11) amod(unities-13, organic-12) nmod:of(evil-9, unities-13) case(example-16, for-15) nmod:for(add-6, example-16) case(lives-20, in-18) det(lives-20, the-19) nmod:in(add-6, lives-20) case(individuals-22, of-21) nmod:of(lives-20, individuals-22) nsubj(wish-24, individuals-22) nsubj(torture-26, individuals-22) ref(individuals-22, who-23) acl:relcl(individuals-22, wish-24) mark(torture-26, to-25) xcomp(wish-24, torture-26) dobj(torture-26, others-27)  ",unities,13,"case(unities-13, of-10) amod(unities-13, particular-11) amod(unities-13, organic-12) nmod:of(evil-9, unities-13) ","the evil of particular organic unities , for example , in",NNS,[],,,,,,,,,"[('of', 'evil')]",['of'],['evil'],[],[],,[],[],[],[],"['particular', 'organic']",[],[],[],['of'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
Good states of mind were complex organic unities .,Good/JJ states/NNS of/IN mind/NN were/VBD complex/JJ organic/JJ unities/NNS ./.,"amod(states-2, Good-1) nsubj(unities-8, states-2) case(mind-4, of-3) nmod:of(states-2, mind-4) cop(unities-8, were-5) amod(unities-8, complex-6) amod(unities-8, organic-7) root(ROOT-0, unities-8)  ",unities,8,"nsubj(unities-8, states-2) cop(unities-8, were-5) amod(unities-8, complex-6) amod(unities-8, organic-7) root(ROOT-0, unities-8) ",of mind were complex organic unities .,NNS,[],were,VBD,object,,,were,be,[],[],[],[],[],[],,[],[],[],[],"['complex', 'organic']",[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,ambiguous,[],unknown,unknown
"<p> The influence of Moore is evident both in the general features of the philosophical framework which Woolf and Keynes employ in their appropriations of Freud ( the belief in the objectivity of values , the importance given to states of mind , the conception of good things as complex organic unities , the conception of politics as practical ethics ) and in their beliefs about the specific components of good states of mind ( both continued to place great stress on "" the pleasures of human intercourse and the enjoyment of beautiful objects "" ) .","<p>/RB The/DT influence/NN of/IN Moore/NNP is/VBZ evident/JJ both/DT in/IN the/DT general/JJ features/NNS of/IN the/DT philosophical/JJ framework/NN which/WDT Woolf/NNP and/CC Keynes/NNP employ/VBP in/IN their/PRP$ appropriations/NNS of/IN Freud/NNP -LRB-/-LRB- the/DT belief/NN in/IN the/DT objectivity/NN of/IN values/NNS ,/, the/DT importance/NN given/VBN to/TO states/NNS of/IN mind/NN ,/, the/DT conception/NN of/IN good/JJ things/NNS as/IN complex/JJ organic/JJ unities/NNS ,/, the/DT conception/NN of/IN politics/NNS as/IN practical/JJ ethics/NNS -RRB-/-RRB- and/CC in/IN their/PRP$ beliefs/NNS about/IN the/DT specific/JJ components/NNS of/IN good/JJ states/NNS of/IN mind/NN -LRB-/-LRB- both/DT continued/VBD to/TO place/VB great/JJ stress/NN on/IN ''/'' the/DT pleasures/NNS of/IN human/JJ intercourse/NN and/CC the/DT enjoyment/NN of/IN beautiful/JJ objects/NNS ''/'' -RRB-/-RRB- ./.","advmod(evident-7, <p>-1) det(influence-3, The-2) nsubj(evident-7, influence-3) nsubj(evident-7', influence-3) case(Moore-5, of-4) nmod:of(influence-3, Moore-5) cop(evident-7, is-6) root(ROOT-0, evident-7) conj:and(evident-7, evident-7') cc:preconj(features-12, both-8) case(features-12, in-9) det(features-12, the-10) amod(features-12, general-11) nmod:in(evident-7, features-12) case(framework-16, of-13) det(framework-16, the-14) amod(framework-16, philosophical-15) nmod:of(features-12, framework-16) dobj(employ-21, framework-16) ref(framework-16, which-17) nsubj(employ-21, Woolf-18) cc(Woolf-18, and-19) conj:and(Woolf-18, Keynes-20) nsubj(employ-21, Keynes-20) acl:relcl(framework-16, employ-21) case(appropriations-24, in-22) nmod:poss(appropriations-24, their-23) nmod:in(employ-21, appropriations-24) case(Freud-26, of-25) nmod:of(appropriations-24, Freud-26) det(belief-29, the-28) dep(appropriations-24, belief-29) case(objectivity-32, in-30) det(objectivity-32, the-31) nmod:in(belief-29, objectivity-32) case(values-34, of-33) nmod:of(objectivity-32, values-34) det(importance-37, the-36) appos(values-34, importance-37) case(states-40, given-38) case(states-40, to-39) acl:to(importance-37, states-40) case(mind-42, of-41) nmod:of(states-40, mind-42) det(conception-45, the-44) appos(states-40, conception-45) case(things-48, of-46) amod(things-48, good-47) nmod:of(conception-45, things-48) case(unities-52, as-49) amod(unities-52, complex-50) amod(unities-52, organic-51) nmod:as(things-48, unities-52) det(conception-55, the-54) appos(states-40, conception-55) case(politics-57, of-56) nmod:of(conception-55, politics-57) case(ethics-60, as-58) amod(ethics-60, practical-59) nmod:as(politics-57, ethics-60) cc(evident-7, and-62) case(beliefs-65, in-63) nmod:poss(beliefs-65, their-64) nmod:in(evident-7', beliefs-65) case(components-69, about-66) det(components-69, the-67) amod(components-69, specific-68) nmod:about(beliefs-65, components-69) case(states-72, of-70) amod(states-72, good-71) nmod:of(beliefs-65, states-72) case(mind-74, of-73) nmod:of(beliefs-65, mind-74) nsubj(continued-77, both-76) nsubj(place-79, both-76) dep(beliefs-65, continued-77) mark(place-79, to-78) xcomp(continued-77, place-79) amod(stress-81, great-80) dobj(place-79, stress-81) case(pleasures-85, on-82) det(pleasures-85, the-84) nmod:on(place-79, pleasures-85) case(intercourse-88, of-86) amod(intercourse-88, human-87) nmod:of(pleasures-85, intercourse-88) cc(intercourse-88, and-89) det(enjoyment-91, the-90) nmod:of(pleasures-85, enjoyment-91) conj:and(intercourse-88, enjoyment-91) case(objects-94, of-92) amod(objects-94, beautiful-93) nmod:of(enjoyment-91, objects-94)  ",unities,52,"case(unities-52, as-49) amod(unities-52, complex-50) amod(unities-52, organic-51) nmod:as(things-48, unities-52) ","good things as complex organic unities , the conception of politics",NNS,[],,,,,,,,,"[('as', 'things')]",['as'],['things'],[],[],,[],[],[],[],"['complex', 'organic']",[],[],[],['as'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
The Afrocentric curriculum puts Africa at the center of the student 's universe .,The/DT Afrocentric/NNP curriculum/NN puts/VBZ Africa/NNP at/IN the/DT center/NN of/IN the/DT student/NN 's/POS universe/NN ./.,"det(curriculum-3, The-1) compound(curriculum-3, Afrocentric-2) nsubj(puts-4, curriculum-3) root(ROOT-0, puts-4) dobj(puts-4, Africa-5) case(center-8, at-6) det(center-8, the-7) nmod:at(Africa-5, center-8) case(universe-13, of-9) det(student-11, the-10) nmod:poss(universe-13, student-11) case(student-11, 's-12) nmod:of(center-8, universe-13)  ",universe,13,"case(universe-13, of-9) nmod:poss(universe-13, student-11) nmod:of(center-8, universe-13) ",center of the student 's universe .,NN,[],,,,,,,,,"[('of', 'center')]",['of'],['center'],[],[],,[],[],[],[],[],[],['student'],[],['of'],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
"<p> The students seem quite distant , too , from the understanding of the nineteen-year-old Alexander Hamilton when he remarked on the root fallacy in Hobbes -- namely , that Hobbes "" disbelieved in the existence of an intelligent superintending principle , who is the governor , and will be the final judge of the universe , "" and that God has "" constituted an eternal and immutable law , which is ... obligatory upon all mankind , prior to any human institution whatever "" 1 -which is to say , even before the advent of a government .","<p>/NN The/DT students/NNS seem/VBP quite/RB distant/JJ ,/, too/RB ,/, from/IN the/DT understanding/NN of/IN the/DT nineteen-year-old/JJ Alexander/NNP Hamilton/NNP when/WRB he/PRP remarked/VBD on/IN the/DT root/NN fallacy/NN in/IN Hobbes/NNP --/: namely/RB ,/, that/IN Hobbes/NNP ''/'' disbelieved/VBD in/IN the/DT existence/NN of/IN an/DT intelligent/JJ superintending/VBG principle/NN ,/, who/WP is/VBZ the/DT governor/NN ,/, and/CC will/MD be/VB the/DT final/JJ judge/NN of/IN the/DT universe/NN ,/, ''/'' and/CC that/IN God/NNP has/VBZ ''/'' constituted/VBD an/DT eternal/JJ and/CC immutable/JJ law/NN ,/, which/WDT is/VBZ .../: obligatory/JJ upon/IN all/DT mankind/NN ,/, prior/RB to/TO any/DT human/JJ institution/NN whatever/NNP ''/'' 1/CD -/: which/WDT is/VBZ to/TO say/VB ,/, even/RB before/IN the/DT advent/NN of/IN a/DT government/NN ./.","root(ROOT-0, <p>-1) det(students-3, The-2) nsubj(seem-4, students-3) acl:relcl(<p>-1, seem-4) advmod(distant-6, quite-5) xcomp(seem-4, distant-6) advmod(seem-4, too-8) case(understanding-12, from-10) det(understanding-12, the-11) nmod:from(seem-4, understanding-12) nsubj(obligatory-74, understanding-12) case(Hamilton-17, of-13) det(Hamilton-17, the-14) amod(Hamilton-17, nineteen-year-old-15) compound(Hamilton-17, Alexander-16) nmod:of(understanding-12, Hamilton-17) mark(disbelieved-33, Hamilton-17) advmod(remarked-20, when-18) nsubj(remarked-20, he-19) acl:relcl(Hamilton-17, remarked-20) case(fallacy-24, on-21) det(fallacy-24, the-22) compound(fallacy-24, root-23) nmod:on(remarked-20, fallacy-24) case(Hobbes-26, in-25) nmod:in(fallacy-24, Hobbes-26) advmod(fallacy-24, namely-28) ref(Hamilton-17, that-30) nsubj(disbelieved-33, Hobbes-31) ccomp(remarked-20, disbelieved-33) case(existence-36, in-34) det(existence-36, the-35) nmod:in(disbelieved-33, existence-36) case(principle-41, of-37) det(principle-41, an-38) amod(principle-41, intelligent-39) amod(principle-41, superintending-40) nmod:of(existence-36, principle-41) nsubj(governor-46, principle-41) ref(principle-41, who-43) cop(governor-46, is-44) det(governor-46, the-45) acl:relcl(principle-41, governor-46) cc(disbelieved-33, and-48) aux(judge-53, will-49) cop(judge-53, be-50) det(judge-53, the-51) amod(judge-53, final-52) ccomp(remarked-20, judge-53) conj:and(disbelieved-33, judge-53) case(universe-56, of-54) det(universe-56, the-55) nmod:of(judge-53, universe-56) cc(disbelieved-33, and-59) mark(has-62, that-60) nsubj(has-62, God-61) ccomp(remarked-20, has-62) conj:and(disbelieved-33, has-62) acl:relcl(understanding-12, constituted-64) det(law-69, an-65) amod(law-69, eternal-66) cc(eternal-66, and-67) conj:and(eternal-66, immutable-68) amod(law-69, immutable-68) dobj(constituted-64, law-69) nsubj(obligatory-74, law-69) ref(understanding-12, which-71) ref(law-69, which-71) cop(obligatory-74, is-72) acl:relcl(law-69, obligatory-74) case(mankind-77, upon-75) det(mankind-77, all-76) nmod:upon(obligatory-74, mankind-77) advmod(mankind-77, prior-79) case(institution-83, to-80) det(institution-83, any-81) amod(institution-83, human-82) nmod:to(prior-79, institution-83) dep(mankind-77, whatever-84) dep(<p>-1, 1-86) nsubj(is-89, which-88) nsubj(say-91, which-88) dep(1-86, is-89) mark(say-91, to-90) xcomp(is-89, say-91) advmod(say-91, even-93) case(advent-96, before-94) det(advent-96, the-95) nmod:before(say-91, advent-96) case(government-99, of-97) det(government-99, a-98) nmod:of(advent-96, government-99)  ",universe,56,"case(universe-56, of-54) det(universe-56, the-55) nmod:of(judge-53, universe-56) ","the final judge of the universe , "" and that God",NN,[],,,,,,,,,"[('of', 'judge')]",['of'],['judge'],[],['the'],definite article,[],[],[],[],[],[],[],[],['of'],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
"She rid herself more easily of the objective standards of a nonhuman universe and an impersonal language , because the object of her study was always exclusively the human subject .","She/PRP rid/VB herself/PRP more/RBR easily/RB of/IN the/DT objective/JJ standards/NNS of/IN a/DT nonhuman/NN universe/NN and/CC an/DT impersonal/JJ language/NN ,/, because/IN the/DT object/NN of/IN her/PRP$ study/NN was/VBD always/RB exclusively/RB the/DT human/JJ subject/NN ./.","nsubj(rid-2, She-1) root(ROOT-0, rid-2) dobj(rid-2, herself-3) advmod(easily-5, more-4) advmod(rid-2, easily-5) case(standards-9, of-6) det(standards-9, the-7) amod(standards-9, objective-8) nmod:of(easily-5, standards-9) case(universe-13, of-10) det(universe-13, a-11) compound(universe-13, nonhuman-12) nmod:of(standards-9, universe-13) cc(universe-13, and-14) det(language-17, an-15) amod(language-17, impersonal-16) nmod:of(standards-9, language-17) conj:and(universe-13, language-17) mark(subject-30, because-19) det(object-21, the-20) nsubj(subject-30, object-21) case(study-24, of-22) nmod:poss(study-24, her-23) nmod:of(object-21, study-24) cop(subject-30, was-25) advmod(subject-30, always-26) advmod(subject-30, exclusively-27) det(subject-30, the-28) amod(subject-30, human-29) advcl(rid-2, subject-30)  ",universe,13,"case(universe-13, of-10) det(universe-13, a-11) compound(universe-13, nonhuman-12) cc(universe-13, and-14) conj:and(universe-13, language-17) nmod:of(standards-9, universe-13) ","objective standards of a nonhuman universe and an impersonal language ,",NN,[],,,,,,,,,"[('of', 'standards')]",['of'],['standards'],[],['a'],indefinite article,"[('and', 'language')]",['and'],['language'],['nonhuman'],[],[],[],[],['of'],[],[],[],[],[],[],a,unit,singular,linked,,['A+N'],countable,unknown
"For Emerson 's great theme was the experience of the individual confronted by and confronting , in a single embrace , the self and the universe : the self in the universe , the universe in the self .","For/IN Emerson/NNP 's/POS great/JJ theme/NN was/VBD the/DT experience/NN of/IN the/DT individual/NN confronted/VBN by/IN and/CC confronting/VBG ,/, in/IN a/DT single/JJ embrace/NN ,/, the/DT self/NN and/CC the/DT universe/NN :/: the/DT self/NN in/IN the/DT universe/NN ,/, the/DT universe/NN in/IN the/DT self/NN ./.","dep(experience-8, For-1) nmod:poss(theme-5, Emerson-2) case(Emerson-2, 's-3) amod(theme-5, great-4) nsubj(experience-8, theme-5) cop(experience-8, was-6) det(experience-8, the-7) root(ROOT-0, experience-8) case(individual-11, of-9) det(individual-11, the-10) nmod:of(experience-8, individual-11) dep(individual-11, confronted-12) nmod(confronted-12, by-13) cc(confronted-12, and-14) dep(individual-11, confronting-15) conj:and(confronted-12, confronting-15) case(embrace-20, in-17) det(embrace-20, a-18) amod(embrace-20, single-19) nmod:in(confronting-15, embrace-20) det(self-23, the-22) nmod:in(confronting-15, self-23) conj:and(embrace-20, self-23) cc(embrace-20, and-24) det(universe-26, the-25) nmod:in(confronting-15, universe-26) conj:and(embrace-20, universe-26) det(self-29, the-28) dep(embrace-20, self-29) case(universe-32, in-30) det(universe-32, the-31) nmod:in(self-29, universe-32) det(universe-35, the-34) dobj(confronting-15, universe-35) case(self-38, in-36) det(self-38, the-37) nmod:in(universe-35, self-38)  ",universe,26,"det(universe-26, the-25) nmod:in(confronting-15, universe-26) conj:and(embrace-20, universe-26) ",", the self and the universe : the self in the",NN,[],,,,,,,,,"[('in', 'confronting')]",['in'],['confronting'],[],['the'],definite article,"[('and', 'embrace')]",['and'],['embrace'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
